.Select Metropolitan Statistical Areas,Educational Attainment.Less than a Bachelor's Degree,Educational Attainment.Bachelor's Degree or Higher,Science and Engineering Degrees.Computer Science,Science and Engineering Degrees.Engineering,Science and Engineering Degrees.Civil Engineering,Science and Engineering Degrees.Electrical Engineering,Science and Engineering Degrees.Mechanical Engineering,Science and Engineering Degrees.Mathematics,Science and Engineering Degrees.Biology,Science and Engineering Degrees.Chemistry,Science and Engineering Degrees.Psychology,Science and Engineering Degrees.Economics,Science and Engineering Degrees.Political Science,Science and Engineering Degrees.Sociology,Science and Engineering Degrees.Nursing,Science and Engineering Degrees.Other Science and Engineering Degrees2,Business Degrees.General Business,Business Degrees.Accounting,Business Degrees.Business Management and Adminstration,Business Degrees.Marketing,Business Degrees.Finance,Business Degrees.Other Business Degrees,Education Degrees.General Education,Education Degrees.Elementary Education,Education Degrees.Other Education Degrees,"Arts, Humanities and Other Degrees.Communications","Arts, Humanities and Other Degrees.English Language and Literature","Arts, Humanities and Other Degrees.Liberal Arts","Arts, Humanities and Other Degrees.History","Arts, Humanities and Other Degrees.Fine Arts","Arts, Humanities and Other Degrees.Commerical Art and Graphic Design","Arts, Humanities and Other Degrees.Family and Consumer Sciences","Arts, Humanities and Other Degrees.Physical Fitness, Parks, Recreation, and Leisure","Arts, Humanities and Other Degrees.Criminal Justice and Fire Protection","Arts, Humanities and Other Degrees.Social Work","Arts, Humanities and Other Degrees.Other Degrees"
Riverside-San Bernardino-Ontario CA,40730.0,73810.0,71790.0,80750.0,113800.0,122600.0,103500.0,74220.0,75430.0,72280.0,61860.0,76280.0,83590.0,54920.0,89350.0,74050.0,79320.0,73300.0,77770.0,79170.0,93230.0,67790.0,72990.0,77420.0,71750.0,52190.0,66400.0,70160.0,100100.0,55960.0,50970.0,54950.0,62110.0,69050.0,62190.0,64360.0
Sacramento-Roseville-Folsom CA,43780.0,84430.0,101100.0,87830.0,120200.0,143200.0,95830.0,80220.0,103700.0,80020.0,77900.0,100100.0,99670.0,66870.0,112300.0,88550.0,90940.0,77450.0,86820.0,95520.0,89000.0,82590.0,70680.0,68950.0,68680.0,81580.0,70850.0,80120.0,82090.0,59100.0,79070.0,53330.0,75040.0,70540.0,66130.0,69420.0
St. Louis MO-IL,41420.0,72350.0,107800.0,97290.0,103600.0,99430.0,103800.0,57280.0,71060.0,96610.0,59460.0,106500.0,89370.0,61190.0,74290.0,81080.0,82580.0,93960.0,74010.0,77190.0,90160.0,88130.0,52330.0,52710.0,59250.0,64260.0,63580.0,65250.0,62510.0,49860.0,66400.0,53210.0,73230.0,59500.0,43960.0,56440.0
San Antonio-New Braunfels TX,36640.0,65300.0,86290.0,75480.0,90800.0,82400.0,99130.0,47590.0,70960.0,69460.0,59130.0,72030.0,68820.0,55770.0,73250.0,71840.0,68360.0,75490.0,67960.0,64950.0,91920.0,65980.0,50630.0,52480.0,61910.0,57190.0,60030.0,64440.0,70750.0,41170.0,57210.0,53110.0,59630.0,68690.0,56860.0,54310.0
San Diego-Chula Vista-Carlsbad CA,41990.0,84380.0,116000.0,101300.0,101900.0,133200.0,120400.0,82010.0,97570.0,115800.0,65500.0,100800.0,93580.0,63920.0,94630.0,91140.0,85040.0,92330.0,78270.0,70860.0,90870.0,81000.0,55740.0,50230.0,51950.0,72410.0,72950.0,72560.0,85250.0,64250.0,64250.0,67570.0,62700.0,70860.0,48770.0,70720.0
San Francisco-Oakland-Berkeley CA,45020.0,114800.0,166700.0,151200.0,122000.0,182100.0,154400.0,157200.0,116600.0,145300.0,92430.0,128400.0,125300.0,92840.0,114500.0,121100.0,114500.0,120800.0,121700.0,105400.0,127300.0,119100.0,80630.0,69540.0,68680.0,98580.0,100200.0,91970.0,116100.0,78470.0,86210.0,66030.0,90260.0,86850.0,90070.0,89900.0
Seattle-Tacoma-Bellevue WA,50940.0,98000.0,171300.0,138400.0,124900.0,151700.0,123300.0,117200.0,89200.0,97270.0,79060.0,120900.0,102100.0,85410.0,87550.0,102100.0,92970.0,97260.0,90860.0,88940.0,120500.0,91700.0,70860.0,81440.0,70130.0,76120.0,79050.0,78440.0,89960.0,61450.0,73430.0,57710.0,86880.0,80290.0,68050.0,74560.0
Tampa-St. Petersburg-Clearwater FL,38830.0,67880.0,99890.0,90070.0,101100.0,91050.0,92200.0,103200.0,81960.0,90060.0,54760.0,82560.0,67640.0,62270.0,77490.0,73620.0,76530.0,78240.0,69560.0,75180.0,94930.0,77110.0,49440.0,52480.0,57910.0,60770.0,54580.0,77800.0,62420.0,48140.0,48010.0,53930.0,52100.0,60800.0,52210.0,56360.0
Washington-Arlington-Alexandria DC-VA-MD-WV,44800.0,100200.0,128600.0,117800.0,127200.0,142700.0,122500.0,117900.0,104700.0,118500.0,81110.0,118400.0,112900.0,81690.0,92520.0,102500.0,102900.0,103800.0,101200.0,93670.0,120000.0,100900.0,70850.0,65490.0,72610.0,82760.0,95360.0,93330.0,106300.0,80250.0,72870.0,71750.0,76130.0,95660.0,67440.0,86050.0
Source: U.S. Census Bureau 2022 American Community Survey 1-year estimates. For more information refer to <www.census.gov/acs>.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
The Census Bureau has reviewed this data product to ensure appropriate access use and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-001-0000001262 Disclosure Review Board (DRB) approval number: CBDRB-FY23-SEHSD003-068.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Note: 1. See Margins of Error for these estimates in table M3. 2  Science and Engineering related fields are included within the ""other science and engineering degrees"" category.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
